% Model,Untitled.mph
% Version,COMSOL 6.0.0.318
% Date,"Oct 17 2024, 16:12"
% Dimension,1
% Nodes,714
% Expressions,1
% Description,Line graph
% cln1x,Power flow, y component
-0.5,0
-0.40000005355451246,0
-0.3999999371453867,0
-0.30000011966669354,0
-0.29999987572130643,0
-0.20000018358344934,0
-0.19999981426884034,0
-0.10000024625290758,0
-0.09999975284538491,0
-3.085318003983853E-7,0
3.0861930790494146E-7,0
0.0999996293694163,0
0.10000036947341928,0
0.19999956693532217,0
0.20000042693957107,0
0.29999950185795576,0
0.3000004727679491,0
0.3999994293182284,0
0.4000004678129667,0
0.49999933845623323,0
0.5,0
-0.5,9.750737340294218E-12
-0.40000005355451246,6.419632798109582E-10
-0.3999999371453867,-1.2036301080512175E-9
-0.30000011966669354,1.3156997961147178E-6
-0.29999987572130643,1.507574306038649E-6
-0.20000018358344934,5.9396938616049906E-5
-0.19999981426884034,9.200317392205472E-5
-0.10000024625290758,5.203405722645371E-4
-0.09999975284538491,9.658525233502305E-4
-3.085318003983853E-7,9.556158361077243E-4
3.0861930790494146E-7,0.001259425272185796
0.0999996293694163,8.859438707113311E-4
0.10000036947341928,6.8505325406978E-4
0.19999956693532217,1.474994553968375E-4
0.20000042693957107,1.4735873698265762E-4
0.29999950185795576,5.3802318073933455E-5
0.3000004727679491,1.739842348531385E-5
0.3999994293182284,1.8397687671750912E-7
0.4000004678129667,6.3331648460401276E-9
0.49999933845623323,-1.2955059036162102E-9
0.5,5.553153168989522E-11
-0.5,1.9351812105391993E-5
-0.40000005355451246,0.007020811586741122
-0.3999999371453867,0.0011784689984943055
-0.30000011966669354,0.4071771582481397
-0.29999987572130643,8.27709255512001
-0.20000018358344934,-0.38415621327113425
-0.19999981426884034,-0.22796603929889228
-0.10000024625290758,152.83689870422762
-0.09999975284538491,145.2818282320531
-3.085318003983853E-7,1172.981217628279
3.0861930790494146E-7,1728.2543814050407
0.0999996293694163,355.28822031077823
0.10000036947341928,669.830296437967
0.19999956693532217,22.83319623578589
0.20000042693957107,21.45183425946173
0.29999950185795576,17.36816769171322
0.3000004727679491,0.04597331421639963
0.3999994293182284,-0.013175625005047273
0.4000004678129667,0.009183491080608874
0.49999933845623323,0.0013564559777119525
0.5,-1.4724697807142001E-6
-0.5,-38.435865146721056
-0.40000005355451246,11.862644586292602
-0.3999999371453867,7000.865787268217
-0.30000011966669354,3631.700265311714
-0.29999987572130643,50228.22731773141
-0.20000018358344934,-52614.96671809025
-0.19999981426884034,105250.45299632319
-0.10000024625290758,4192487.57352644
-0.09999975284538491,720450.6837681073
-3.085318003983853E-7,4.881769061426522E7
3.0861930790494146E-7,5.4275103801966876E7
0.0999996293694163,1.0188367192230374E7
0.10000036947341928,1.4412458809662089E7
0.19999956693532217,-24471.6557412255
0.20000042693957107,55838.71050535793
0.29999950185795576,137217.4006582842
0.3000004727679491,1130.5075110105274
0.3999994293182284,5778.760511439784
0.4000004678129667,268.6063298067948
0.49999933845623323,-2.433772583102776
0.5,3.2313701434109094
-0.5,79252.48358426802
-0.40000005355451246,-687071.6414147461
-0.3999999371453867,5582215.02821035
-0.30000011966669354,4626394.330766179
-0.29999987572130643,2.1398906804268856E7
-0.20000018358344934,2.5169346927273653E7
-0.19999981426884034,3.221679998082441E8
-0.10000024625290758,-8.11319170390071E7
-0.09999975284538491,2.7466199390783615E7
-3.085318003983853E-7,2.190006230083203E9
3.0861930790494146E-7,1.9116347285219417E9
0.0999996293694163,7.161471857612742E7
0.10000036947341928,-2.3163454363936942E7
0.19999956693532217,3.7964528936290395E8
0.20000042693957107,1.0068222216883308E8
0.29999950185795576,400853.796371845
0.3000004727679491,-2433170.950579256
0.3999994293182284,5064031.987740693
