% Model,Untitled.mph
% Version,COMSOL 6.0.0.318
% Date,"Oct 17 2024, 16:08"
% Dimension,1
% Nodes,714
% Expressions,1
% Description,Line graph
% cln1x,Power flow, x component
-0.5,0
-0.40000005355451246,0
-0.3999999371453867,0
-0.30000011966669354,0
-0.29999987572130643,0
-0.20000018358344934,0
-0.19999981426884034,0
-0.10000024625290758,0
-0.09999975284538491,0
-3.085318003983853E-7,0
3.0861930790494146E-7,0
0.0999996293694163,0
0.10000036947341928,0
0.19999956693532217,0
0.20000042693957107,0
0.29999950185795576,0
0.3000004727679491,0
0.3999994293182284,0
0.4000004678129667,0
0.49999933845623323,0
0.5,0
-0.5,-6.814343356703325E-11
-0.40000005355451246,-1.6583955562351694E-9
-0.3999999371453867,8.134252251653382E-9
-0.30000011966669354,-1.8086655330543354E-6
-0.29999987572130643,2.163995257992253E-6
-0.20000018358344934,-2.6514530561967797E-5
-0.19999981426884034,-4.547099356271415E-5
-0.10000024625290758,-8.371072966661884E-5
-0.09999975284538491,4.609856446445328E-5
-3.085318003983853E-7,-5.6286401402685135E-5
3.0861930790494146E-7,2.319145919069096E-4
0.0999996293694163,-2.4493618210178745E-5
0.10000036947341928,1.871035382898421E-4
0.19999956693532217,6.788268847694285E-5
0.20000042693957107,6.355610421797853E-5
0.29999950185795576,1.050204817640974E-5
0.3000004727679491,1.5970542088482302E-5
0.3999994293182284,2.435098368689543E-8
0.4000004678129667,4.6681501896209063E-8
0.49999933845623323,4.4781258648693973E-10
0.5,3.789293841334573E-11
-0.5,-1.2041797796201078E-5
-0.40000005355451246,-0.013405296517788073
-0.3999999371453867,9.673005586189723E-4
-0.30000011966669354,-0.7434684650948983
-0.29999987572130643,1.417000723445495
-0.20000018358344934,-0.3767832733951672
-0.19999981426884034,-0.06741579958825533
-0.10000024625290758,-40.033973188649846
-0.09999975284538491,-138.94975693399564
-3.085318003983853E-7,-52.49576273513257
3.0861930790494146E-7,170.9412552188867
0.0999996293694163,108.51744186483887
0.10000036947341928,84.57463715708951
0.19999956693532217,8.738044967009614
0.20000042693957107,7.8327816994030846
0.29999950185795576,-9.96126393513656
0.3000004727679491,-0.15781065165289365
0.3999994293182284,0.016861454425587903
0.4000004678129667,0.03204802384817107
0.49999933845623323,-7.103138379334768E-4
0.5,-1.838867896588576E-5
-0.5,-63.712928386156314
-0.40000005355451246,14.166766953550159
-0.3999999371453867,1624.3902150316003
-0.30000011966669354,-2834.956476132373
-0.29999987572130643,16588.041220655647
-0.20000018358344934,-35430.77633556309
-0.19999981426884034,-271607.94559901283
-0.10000024625290758,-1357577.1252400572
-0.09999975284538491,-2445993.098040714
-3.085318003983853E-7,-5066866.320335708
3.0861930790494146E-7,3218770.3051047125
0.0999996293694163,4834640.055933336
0.10000036947341928,3799687.3965856615
0.19999956693532217,141239.53510142796
0.20000042693957107,-26181.95801223496
0.29999950185795576,-53500.48374089421
0.3000004727679491,1278.076471762009
0.3999994293182284,-3338.2663067974972
0.4000004678129667,151.66944443302324
0.49999933845623323,1.9467434979863258
0.5,-1.142829360468513
-0.5,-133080.5680497884
-0.40000005355451246,-759855.5857482328
-0.3999999371453867,247798.73028025826
-0.30000011966669354,-1866341.7876537119
-0.29999987572130643,1476601.3312820059
-0.20000018358344934,-1.8935916935046512E8
-0.19999981426884034,-4.8587890598951095E8
-0.10000024625290758,-7.012682797824508E7
-0.09999975284538491,-6.814816047735278E7
-3.085318003983853E-7,-5.2846583926431394E8
3.0861930790494146E-7,7.6435116884159E8
0.0999996293694163,-1.4297193425771913E8
0.10000036947341928,1.9118804990235627E7
0.19999956693532217,7.031838555074563E8
0.20000042693957107,3.981282597138628E8
0.29999950185795576,2357384.174873207
